stop_id,stop_code,stop_lat,stop_lon,location_type,wheelchair_boarding,name
3157,3157,52.100133,-106.662738,None,0,Ruth Street / Wilson
3168,3168,52.13057,-106.655399,None,0,24th Street / 6th Avenue
3220,3220,52.111535,-106.673632,None,0,Kilburn / 5th Street
4361,4361,52.12132,-106.759696,None,0,McCormack / Skuce
3238,3238,52.143773,-106.698758,None,0,33rd Street / Edmonton
3659,3659,52.133271,-106.700282,None,0,Rusholme / Avenue T
3859,3859,52.116672,-106.622297,None,0,Main / Preston
5476,5476,52.086366,-106.633876,None,0,Cornish / Willis Crescent
3249,3249,52.148405,-106.678841,None,0,36th Street / Avenue G
3623,3623,52.143997,-106.598777,None,0,Central / 115th Street
5911,5911,52.134017,-106.72149,None,0,Confederation Terminal
5558,5558,52.13653,-106.659817,None,0,Queen / 2nd Avenue
5785,5785,52.14531,-106.725775,None,0,George / Wedge
3798,3798,52.108789,-106.724527,None,0,Mountbatten / Lancaster
4281,4281,52.158912,-106.597418,None,0,Kristjanson / Garvie
3999,3999,52.187503,-106.655183,None,0,60th Street / 800-Block
3373,3373,52.106421,-106.616196,None,0,Taylor / Madden
5825,5825,52.091872,-106.616862,None,0,2400 Eastview / 2700 Eastview
3231,3231,52.143777,-106.685578,None,0,33rd Street / Avenue K
3086,3086,52.090752,-106.56657,None,0,Rosewood / Ledingham Drive
3321,3321,52.114537,-106.648277,None,0,8th Street / Albert
3276,3276,52.125538,-106.663347,None,0,3rd Avenue / 20th Street
3909,3909,52.119338,-106.571623,None,0,Laurentian / Brock
4161,4161,52.12881,-106.628228,None,0,College / Field House
5828,5828,52.159839,-106.673048,None,0,Avenue C / Cynthia
3911,3911,52.116342,-106.574704,None,0,Laurentian / Boychuk
4036,4036,52.086777,-106.622774,None,0,Preston / Willis
3874,3874,52.100574,-106.610053,None,0,Louise / Arlington
3542,3542,52.125805,-106.646788,None,0,Temperance / Clarence
3975,3975,52.114776,-106.589199,None,0,8th Street / Sobey's
5449,5449,52.119978,-106.736198,None,0,Pendygrasse / Diggle
4338,4338,52.113004,-106.737176,None,0,Caen / Haida Street
4415,4415,52.128357,-106.588761,None,0,Packham / 103rd Street
5794,5794,52.129899,-106.710151,None,0,Witney / 22nd Street
3627,3627,52.100454,-106.674676,None,0,Ruth / St Patrick
5882,5882,52.098367,-106.570687,None,0,Slimmon / Boychuk
3895,3895,52.111205,-106.670299,None,0,Lorne / 4th Street
3683,3683,52.147978,-106.663458,None,0,Quebec / 36th Street
4365,4365,52.121454,-106.724594,None,0,Pendygrasse / Clancy
3419,3419,52.098409,-106.609955,None,0,East Heights / 1500-Block
3706,3706,52.17017,-106.617465,None,0,Redberry / Wathaman
4332,4332,52.131743,-106.671286,None,0,Jamieson / Avenue B
3692,3692,52.147834,-106.699656,None,0,Richardson / Davidson
3381,3381,52.118147,-106.599066,None,0,Acadia / Harrington
4166,4166,52.128959,-106.629186,None,0,College / Campus
3861,3861,52.116839,-106.625601,None,0,Main / Lake
3110,3110,52.126246,-106.701049,None,0,20th Street / Avenue T
5852,5852,52.168594,-106.626737,None,0,Pinehouse / La Ronge
3143,3143,52.130763,-106.664931,None,0,23rd Street / 1st Avenue
5363,5363,52.150121,-106.569927,None,0,Nelson Road / Heal
5710,5710,52.143938,-106.721536,None,0,33rd Street / Matheson
5426,5426,52.112887,-106.724403,None,0,Lancaster / Caen
4334,4334,52.112991,-106.730666,None,0,Caen / Rockingham Ave
4441,4441,52.17305,-106.661069,None,0,51st Street / 1st Avenue
5382,5382,52.154655,-106.663475,None,0,Quebec / 40th Street
5705,5705,52.166386,-106.555153,None,0,Baltzan Boulevard / Boykowich
4447,4447,52.155969,-106.642134,None,0,Alexandra / Rupert
5613,5613,52.104767,-106.573274,None,0,Briarwood / Boychuk
4231,4231,52.134801,-106.603862,None,0,Egbert / 106th Street
3561,3561,52.107247,-106.629135,None,0,Taylor / Morgan
3311,3311,52.139563,-106.651967,None,0,7th Avenue / Princess
3289,3289,52.141059,-106.658343,None,0,2nd Avenue / Duke
3889,3889,52.102075,-106.670267,None,0,Lorne / Adelaide
3418,3418,52.121591,-106.609119,None,0,Arlington / 14th Street
4063,4063,52.100682,-106.656872,None,0,Broadway / Ruth
3757,3757,52.119472,-106.729683,None,0,Pendygrasse / 400-Block
3445,3445,52.159427,-106.673298,None,0,Avenue C / Cynthia
