shape_id,shape_lat,shape_lon,point_seq,dist
74018,52.130343,-106.663064,177,4.8668
73903,52.128207,-106.608774,174,2.2483
73685,52.114688,-106.710264,342,6.0915
73925,52.128247,-106.758829,58,1.3630
73659,52.119474,-106.622691,146,4.7066
73673,52.118536,-106.669156,138,2.4846
74010,52.158422,-106.687261,352,8.9202
73669,52.127493,-106.666265,26,0.5516
73851,52.098496,-106.582000,79,1.3115
73632,52.131647,-106.670260,57,1.4026
73998,52.141705,-106.598922,212,4.4222
74007,52.129134,-106.665496,370,6.8932
73698,52.151452,-106.644884,279,6.2894
73666,52.143860,-106.670227,377,8.9953
73849,52.093062,-106.593268,379,9.0006
73936,52.111307,-106.724989,42,1.1089
74016,52.134369,-106.720867,341,7.5262
74019,52.146938,-106.666135,335,6.8260
73960,52.117280,-106.634673,183,1.6556
73930,52.129263,-106.680451,521,11.3068
73743,52.116282,-106.670525,167,5.2420
74013,52.126654,-106.730292,572,9.1066
73723,52.098869,-106.646532,293,4.3826
73815,52.139650,-106.670221,116,2.2949
73958,52.121879,-106.599562,96,1.2576
73727,52.083993,-106.636974,80,1.9478
73876,52.136551,-106.670225,62,1.3150
73849,52.102535,-106.586292,283,6.6286
73940,52.129562,-106.661584,1,0.0000
74008,52.129296,-106.705814,270,5.6688
73942,52.139052,-106.718360,221,1.4519
73709,52.105354,-106.656756,949,16.4130
74006,52.129265,-106.678917,237,3.8316
74007,52.130093,-106.635890,472,9.5934
73905,52.130312,-106.607726,248,7.5246
73943,52.151446,-106.696851,102,2.0937
73849,52.129255,-106.621900,138,1.3062
73974,52.094396,-106.552950,11,0.5541
73679,52.115350,-106.670428,169,5.3409
73732,52.119106,-106.571449,472,7.3550
73665,52.150760,-106.737792,303,8.1162
73966,52.102476,-106.619250,136,3.4238
73704,52.107842,-106.656760,30,1.1810
73942,52.134114,-106.720969,100,0.1257
73729,52.129612,-106.610438,390,7.2012
73653,52.129784,-106.635662,111,3.4465
73960,52.129269,-106.634878,106,0.3178
73999,52.129671,-106.611619,478,9.0920
73903,52.114700,-106.598720,247,4.3058
73986,52.129205,-106.631883,204,2.8566
73632,52.133528,-106.722160,438,7.5209
73727,52.128880,-106.639076,363,8.1030
73651,52.105496,-106.609414,303,6.8446
73961,52.128889,-106.634716,133,0.3634
73709,52.095150,-106.655972,1036,18.2328
73761,52.167762,-106.639295,238,6.8545
73919,52.134330,-106.720776,114,2.2165
73919,52.130614,-106.664557,372,7.0700
73678,52.114782,-106.615501,342,6.7339
73724,52.081239,-106.635273,30,0.9453
73876,52.169509,-106.668008,176,5.0202
73682,52.134110,-106.721066,258,3.9505
73905,52.130282,-106.606542,300,7.6216
73610,52.133308,-106.681316,85,1.8518
73688,52.126185,-106.690125,218,5.4936
74005,52.129261,-106.691239,304,5.1085
74008,52.130487,-106.636962,69,0.1103
73975,52.104826,-106.579098,223,4.0083
74005,52.133539,-106.722268,231,2.3756
73966,52.082815,-106.624818,257,6.1534
74006,52.129270,-106.674210,221,3.5086
73675,52.117532,-106.669792,154,2.6056
73642,52.130165,-106.661297,587,10.5181
73998,52.130280,-106.636174,84,0.1778
73940,52.135281,-106.725572,329,5.5641
73611,52.129271,-106.672622,126,3.2787
73992,52.143856,-106.591996,328,4.7526
73938,52.134122,-106.720894,441,6.7402
73685,52.124549,-106.671898,603,12.7144
73684,52.124516,-106.669981,574,12.1223
73966,52.112326,-106.598619,35,0.1352
73964,52.106170,-106.622687,34,0.8993
73675,52.130606,-106.664545,50,1.0573
73709,52.094734,-106.656986,1030,18.1360
73925,52.127711,-106.747798,20,0.1128
73953,52.104737,-106.604813,70,1.3959
73722,52.119968,-106.668916,81,1.3155
74018,52.129271,-106.669262,154,4.3036
73960,52.119335,-106.609005,285,3.6189
73698,52.162330,-106.635663,157,3.3815
73998,52.129625,-106.635502,97,0.2656
73634,52.126712,-106.727129,519,7.9466
