da_id,point_index,lat,lng
47110188,9,52.103621,-106.673304
47110188,10,52.105311,-106.673311
47110188,11,52.107232,-106.673390
47110188,12,52.107481,-106.673296
47110188,13,52.107470,-106.671947
47110188,14,52.107517,-106.670503
47110188,15,52.107392,-106.670498
47110188,16,52.106294,-106.670530
47110188,17,52.106307,-106.667712
47110188,18,52.105290,-106.667791
47110188,19,52.104463,-106.667789
47110188,20,52.103591,-106.667786
47110188,21,52.102737,-106.667739
47110188,22,52.101892,-106.667752
47110188,23,52.101073,-106.667794
47110189,0,52.101071,-106.670422
47110189,1,52.100332,-106.670585
47110189,2,52.100340,-106.670707
47110189,3,52.100462,-106.671538
47110189,4,52.100559,-106.672271
47110189,5,52.100612,-106.672990
47110189,6,52.100601,-106.674420
47110189,7,52.100617,-106.675866
47110189,8,52.100615,-106.677268
47110189,9,52.101901,-106.677228
47110189,10,52.103645,-106.677279
47110189,11,52.105326,-106.677298
47110189,12,52.107177,-106.677126
47110189,13,52.107354,-106.677174
47110189,14,52.107528,-106.677257
47110189,15,52.107795,-106.677385
47110189,16,52.108208,-106.677473
47110189,17,52.108724,-106.677508
47110189,18,52.109251,-106.677464
47110189,19,52.109259,-106.677284
47110189,20,52.109269,-106.677064
47110189,21,52.109236,-106.676884
47110189,22,52.109238,-106.676644
47110189,23,52.109252,-106.675022
47110189,24,52.109228,-106.673546
47110189,25,52.107722,-106.673446
47110189,26,52.107483,-106.673504
47110189,27,52.107481,-106.673296
47110189,28,52.107232,-106.673390
47110189,29,52.105311,-106.673311
47110189,30,52.103621,-106.673304
47110189,31,52.103614,-106.671846
47110189,32,52.102069,-106.671862
47110189,33,52.101945,-106.671559
47110189,34,52.101898,-106.670468
47110189,35,52.101071,-106.670422
47110054,0,52.143396,-106.652184
47110054,1,52.142996,-106.652188
47110054,2,52.142493,-106.652169
47110054,3,52.140982,-106.652143
47110054,4,52.140997,-106.653692
47110054,5,52.141002,-106.655227
47110054,6,52.142521,-106.655254
47110054,7,52.142527,-106.656789
47110054,8,52.141008,-106.656762
47110054,9,52.139461,-106.656763
47110054,10,52.139477,-106.658195
47110054,11,52.139487,-106.658722
47110054,12,52.138003,-106.659427
47110054,13,52.136627,-106.660062
47110054,14,52.135278,-106.660743
47110054,15,52.133513,-106.661539
47110054,16,52.133735,-106.663256
47110054,17,52.132256,-106.664006
47110054,18,52.132411,-106.664992
47110054,19,52.132419,-106.665794
47110054,20,52.132449,-106.667153
47110054,21,52.132452,-106.667286
47110054,22,52.132426,-106.668679
47110054,23,52.132418,-106.670294
47110054,24,52.133248,-106.670257
47110054,25,52.133381,-106.670249
47110054,26,52.133741,-106.670227
47110054,27,52.134425,-106.670216
47110054,28,52.135333,-106.670199
47110054,29,52.136188,-106.670172
47110054,30,52.137167,-106.670238
47110054,31,52.138623,-106.670263
47110054,32,52.139070,-106.670262
47110054,33,52.140251,-106.670237
47110054,34,52.142068,-106.670202
47110054,35,52.143883,-106.670256
47110054,36,52.143877,-106.668166
47110054,37,52.143867,-106.666353
47110054,38,52.143839,-106.664887
47110054,39,52.143857,-106.663196
47110054,40,52.143896,-106.662393
47110054,41,52.143860,-106.660957
47110054,42,52.143840,-106.660579
47110054,43,52.143707,-106.659156
47110054,44,52.143669,-106.658517
47110054,45,52.143695,-106.658148
47110054,46,52.143702,-106.657580
47110054,47,52.143871,-106.655216
47110054,48,52.143884,-106.653653
47110054,49,52.143896,-106.652148
47110054,50,52.143622,-106.652167
47110054,51,52.143396,-106.652184
47110055,0,52.140972,-106.649044
47110055,1,52.139443,-106.649075
47110055,2,52.139448,-106.650668
47110055,3,52.139453,-106.652174
47110055,4,52.139450,-106.653737
47110055,5,52.139447,-106.655228
47110055,6,52.139461,-106.656763
47110055,7,52.141008,-106.656762
47110055,8,52.142527,-106.656789
47110055,9,52.142521,-106.655254
47110055,10,52.141002,-106.655227
47110055,11,52.140997,-106.653692
47110055,12,52.140982,-106.652143
47110055,13,52.140978,-106.650550
47110055,14,52.140972,-106.649044
47110056,0,52.137828,-106.655226
47110056,1,52.136659,-106.655227
47110056,2,52.136683,-106.656762
47110056,3,52.136642,-106.658339
47110056,4,52.135004,-106.659081
47110056,5,52.135278,-106.660743
47110056,6,52.136627,-106.660062
47110056,7,52.138003,-106.659427
47110056,8,52.139487,-106.658722
47110056,9,52.139477,-106.658195
47110056,10,52.139461,-106.656763
47110056,11,52.139447,-106.655228
47110056,12,52.137828,-106.655226
47110057,0,52.138866,-106.647448
47110057,1,52.137819,-106.648289
47110057,2,52.137825,-106.649001
47110057,3,52.136629,-106.649038
