index,postal_code,lat,lng,walkscore,da_id
2914,S7J 5C7,52.092000,-106.575000,47110520,41
2915,S7J 5C6,52.092000,-106.576500,47110522,49
2916,S7J 5C5,52.092000,-106.578000,47110522,48
2917,S7J 5C5,52.092000,-106.579500,47110522,46
2918,S7J 5C4,52.092000,-106.576500,47110522,49
2919,S7J 5C9,52.090500,-106.579500,47110144,41
2920,S7J 5C9,52.092000,-106.579500,47110522,46
2921,S7J 5C9,52.092000,-106.581000,47110522,44
2922,S7J 5C8,52.090500,-106.579500,47110144,41
2923,S7J 5C8,52.092000,-106.581000,47110522,44
2924,S7L 0G8,52.134000,-106.681500,47110572,70
2925,S7J 0W2,52.099500,-106.663500,47110533,51
2926,S7J 0W3,52.099500,-106.663500,47110533,51
2927,S7M 2W5,52.122000,-106.693500,47110546,55
2928,S7M 2W5,52.123500,-106.695000,47110549,61
2929,S7J 0W1,52.093500,-106.663500,47110699,32
2930,S7J 0W6,52.101000,-106.663500,47110179,54
2931,S7J 0W6,52.105500,-106.665000,47110180,52
2932,S7J 0W7,52.105500,-106.662000,47110181,54
2933,S7J 0W4,52.095000,-106.662000,47110532,43
2934,S7J 0W5,52.095000,-106.662000,47110532,43
2935,S7J 0W8,52.101000,-106.662000,47110179,53
2936,S7J 0W9,52.102500,-106.660500,47110179,52
2937,S7J 0W9,52.102500,-106.657500,47110179,56
2938,S7J 0W9,52.101000,-106.660500,47110179,52
2939,S7M 2W9,52.120500,-106.761000,47110338,33
2940,S7M 2W9,52.119000,-106.761000,47110338,26
2941,S7M 2W8,52.120500,-106.693500,47110547,51
2942,S7L 0E2,52.132500,-106.678500,47110413,78
2943,S7L 0E3,52.132500,-106.678500,47110413,78
2944,S7L 0E1,52.134000,-106.677000,47110413,75
2945,S7L 0E6,52.134000,-106.677000,47110413,75
2946,S7L 0E7,52.134000,-106.677000,47110413,75
2947,S7L 0E4,52.132500,-106.680000,47110413,71
2948,S7L 0E5,52.131000,-106.680000,47110413,85
2949,S7L 0E8,52.134000,-106.678500,47110413,74
2950,S7L 0E9,52.134000,-106.678500,47110413,74
2951,S7K 0L2,52.134000,-106.660500,47110061,84
2952,S7K 7Z7,52.177500,-106.632000,47110470,43
2953,S7N 1Z9,52.138500,-106.588500,47110456,46
2954,S7N 1Z9,52.138500,-106.590000,47110296,53
2955,S7K 7Z5,52.173000,-106.627500,47110035,64
2956,S7K 7Z4,52.168500,-106.620000,47110315,47
2957,S7K 7Z3,52.171500,-106.636500,47110396,76
2958,S7K 7Z1,52.183500,-106.657500,47110691,18
2959,S7K 7Z1,52.180500,-106.657500,47110691,24
2960,S7N 1Z1,52.129500,-106.591500,47110296,45
2961,S7N 1Z2,52.132500,-106.594500,47110296,57
2962,S7N 1Z3,52.132500,-106.594500,47110296,57
